33,17,35,33,13,BAIK
22,5,19,35,11,BAIK
23,2,7,17,3,BAIK
51,3,18,15,10,SEDANG
21,5,19,31,8,BAIK
30,14,24,23,6,BAIK
22,2,16,12,3,BAIK
54,3,15,25,11,SEDANG
23,2,17,30,4,BAIK
25,14,17,17,5,BAIK
18,4,14,23,9,BAIK
43,2,7,20,6,BAIK
17,4,12,33,9,BAIK
27,14,20,30,9,BAIK
51,3,9,31,9,SEDANG
20,7,14,47,17,BAIK
31,17,25,33,11,BAIK
21,2,7,19,4,BAIK
54,3,17,43,17,SEDANG
32,17,26,30,14,BAIK
20,7,17,32,11,BAIK
21,2,10,30,4,BAIK
58,3,13,48,10,SEDANG
24,3,8,52,3,SEDANG
28,15,24,37,10,BAIK
21,11,14,29,11,BAIK
24,9,16,60,28,SEDANG
54,3,18,38,13,SEDANG
35,17,26,54,10,SEDANG
19,2,15,25,4,BAIK
67,4,19,42,12,SEDANG
25,3,18,47,6,BAIK
46,17,25,45,11,BAIK
68,3,32,22,11,SEDANG
56,15,47,24,11,SEDANG
37,2,22,21,5,BAIK
71,4,18,45,17,SEDANG
41,16,25,37,12,BAIK
17,3,12,21,4,BAIK
59,3,17,57,18,SEDANG
39,19,35,53,18,SEDANG
16,3,12,37,7,BAIK
22,3,17,111,8,TIDAK SEHAT
67,4,15,84,17,SEDANG
57,19,54,73,21,SEDANG
87,3,21,52,18,SEDANG
20,4,17,79,20,SEDANG
55,22,33,47,20,SEDANG
78,3,29,60,13,SEDANG
16,3,28,76,10,SEDANG
56,17,26,71,23,SEDANG
16,3,16,83,10,SEDANG
61,3,28,72,23,SEDANG
54,15,32,50,22,SEDANG
52,2,14,29,9,SEDANG
31,13,20,38,8,BAIK
23,2,12,21,2,BAIK
52,2,10,28,6,SEDANG
17,5,17,33,9,BAIK
29,15,22,22,8,BAIK
21,2,9,18,2,BAIK
51,2,8,17,7,SEDANG
17,5,15,26,9,BAIK
25,15,22,22,7,BAIK
47,3,8,21,8,BAIK
14,6,12,26,8,BAIK
22,14,18,24,7,BAIK
22,2,7,16,2,BAIK
47,3,15,32,6,BAIK
17,5,15,35,14,BAIK
22,14,22,27,10,BAIK
26,2,11,18,3,BAIK
51,3,10,24,7,SEDANG
16,4,12,38,7,BAIK
25,13,22,27,8,BAIK
19,2,8,17,3,BAIK
55,3,16,21,7,SEDANG
18,8,16,33,15,BAIK
23,13,19,28,9,BAIK
20,2,18,19,3,BAIK
44,2,5,18,5,BAIK
18,5,13,29,13,BAIK
21,13,15,21,8,BAIK
45,3,10,13,8,BAIK
16,4,13,25,6,BAIK
21,13,16,20,6,BAIK
49,3,10,14,5,BAIK
18,4,13,28,8,BAIK
23,14,19,23,6,BAIK
18,2,7,12,2,BAIK
42,3,7,14,7,BAIK
25,14,21,21,7,BAIK
16,4,13,24,6,BAIK
45,2,10,14,7,BAIK
23,14,20,21,5,BAIK
16,5,16,21,8,BAIK
48,2,7,17,6,BAIK
16,5,18,26,6,BAIK
24,15,24,25,6,BAIK
